id , Gender , Age , Nationality    , Are_you_a_member_of_Facebook? , facebook_int1 , facebook_int2 , facebook_int3 , facebook_int4 , facebook_int5 , facebook_int6 , facebook_int7 , facebook_int8 , f_use_1 , f_use_2 , f_use_3 , f_use_4 , f_use_5 , bonding_1 , bonding_2 , bonding_3 , bonding_4 , bonding_5 , bonding_6 , bonding_7 , bonding_8 , bonding_9 , bonding_10 , bridging_1 , bridging_2 , bridging_3 , bridging_4 , bridging_5 , bridging_6 , bridging_7 , bridging_8 , bridging_9 , bridging_10 , self_est_1 , self_est_2 , self_est_3 , self_est_4 , self_est_5 , self_est_6 , self_est_7 , life_satisf_1 , life_satisf_2 , life_satisf_3 , life_satisf_4 , life_satisf_5
22 , M      , 24  , Australian     , Y                             , 8             , 2             , 4             , 2             , 4             , 4             , 1             , 2             , 3       , 1       , 1       , 4       , 2       , 4         , 4         , 1         , 5         , 5         , 4         , 3         , 2         , 3         , 2          , 2          , 2          , 2          , 2          , 4          , 2          , 2          , 2          , 1          , 2           , 5          , 5          , 1          , 5          , 1          , 5          , 4          , 4             , 5             , 5             , 5             , 5
23 , M      , 25  , Indonesian     , Y                             , 3             , 0             , 1             , 2             , 1             , 1             , 1             , 3             , 4       , 4       , 4       , 2       , 1       , 4         , 3         , 3         , 1         , 1         , 2         , 1         , 2         , 3         , 1          , 2          , 3          , 2          , 2          , 1          , 1          , 2          , 1          , 3          , 2           , 4          , 3          , 3          , 4          , 3          , 3          , 4          , 4             , 3             , 3             , 3             , 2
24 , M      , 22  , British        , Y                             , 5             , 3             , 5             , 3             , 5             , 4             , 4             , 5             , 4       , 4       , 1       , 5       , 1       , 2         , 4         , 2         , 2         , 1         , 1         , 1         , 1         , 4         , 2          , 5          , 4          , 4          , 3          , 4          , 4          , 2          , 2          , 4          , 4           , 5          , 5          , 1          , 5          , 1          , 5          , 5          , 4             , 5             , 5             , 4             , 2
26 , F      , 22  , azerbaijani    , Y                             , 3             , 2             , 2             , 2             , 3             , 2             , 2             , 2             , 3       , 2       , 3       , 4       , 2       , 4         , 4         , 2         , 4         , 4         , 3         , 3         , 3         , 2         , 2          , 3          , 2          , 3          , 3          , 2          , 2          , 3          , 2          , 2          , 2           , 2          , 4          , 2          , 4          , 3          , 3          , 3          , 2             , 3             , 3             , 2             , 2
29 , M      , 24  , China          , Y                             , 0             , 0             , 1             , 1             , 2             , 2             , 3             , 3             , 3       , 4       , 4       , 5       , 1       , 3         , 4         , 3         , 2         , 1         ,           , 4         , 3         , 2         , 4          , 4          , 3          , 2          , 4          , 4          , 3          , 4          , 2          , 4          , 2           , 4          , 4          , 2          , 4          , 3          , 4          , 2          , 2             , 2             , 3             , 2             , 4
30 , M      , 22  , British        , Y                             , 8             , 1             , 2             , 2             , 1             , 2             , 2             , 3             , 3       , 4       , 1       , 4       , 1       , 2         , 2         , 3         , 2         , 2         , 2         , 3         , 2         , 2         , 2          , 2          , 2          , 2          , 3          , 2          , 2          , 2          , 2          , 3          , 2           , 4          , 4          , 2          , 4          , 2          , 4          , 4          , 4             , 4             , 4             , 4             , 3
31 , M      , 23  , CHINA          , Y                             , 4             , 3             , 4             , 4             , 2             , 1             , 4             , 3             , 4       , 3       , 4       , 5       , 5       , 4         , 4         , 3         , 4         , 5         , 3         , 4         , 4         , 3         , 4          , 4          , 4          , 2          , 4          , 4          , 4          , 5          , 2          , 3          , 2           , 3          , 3          , 2          , 4          , 4          , 4          , 2          , 2             , 5             , 4             , 3             , 4
33 , M      , 24  , British        , Y                             , 3             , 0             , 3             , 3             , 3             , 2             , 3             , 4             , 4       , 2       , 2       , 4       , 2       , 4         , 4         , 2         , 4         , 4         , 2         , 3         , 3         , 3         , 4          , 4          , 4          , 2          , 4          , 2          , 3          , 3          , 3          , 2          , 3           , 4          , 4          , 2          , 3          , 3          , 4          , 4          , 3             , 3             , 4             , 3             , 3
35 , M      , 22  , chinese        , Y                             , 0             , 0             , 2             , 3             , 2             , 2             , 2             , 3             , 2       , 3       , 2       , 3       , 3       , 3         , 2         , 3         , 2         , 2         , 3         , 2         , 3         , 4         , 3          , 3          , 3          , 3          , 3          , 3          , 3          , 3          , 2          , 3          , 2           , 4          , 4          , 2          , 4          , 3          , 4          , 4          , 3             , 3             , 3             , 3             , 3
36 , M      , 21  , Jordanian      , Y                             , 8             , 5             , 5             , 3             , 5             , 4             , 4             , 5             , 5       , 2       , 3       , 3       , 3       , 5         , 1         , 1         , 5         , 5         , 3         , 4         , 3         , 5         , 3          , 4          , 3          , 3          , 5          , 3          , 3          , 5          , 1          , 3          , 3           , 5          , 5          , 1          , 1          , 1          , 5          , 5          , 5             , 5             , 5             , 5             , 5
37 , M      , 21  , British        , Y                             , 5             , 2             , 4             , 3             , 4             , 3             , 2             , 5             , 4       , 3       , 2       , 4       , 2       , 4         , 4         , 2         , 5         , 4         , 2         , 2         , 3         , 3         , 3          , 4          , 4          , 4          , 4          , 4          , 2          , 3          , 2          , 2          , 2           , 4          , 4          , 1          , 4          , 1          , 5          , 4          , 4             , 4             , 4             , 4             , 3
38 , F      , 51  , British        , Y                             , 2             , 2             , 4             , 3             , 4             , 4             , 3             , 4             , 2       , 3       , 1       , 4       , 1       , 4         , 4         , 2         , 2         , 3         , 2         , 3         , 3         , 3         , 3          , 2          , 1          , 2          , 1          , 2          , 1          , 1          , 2          , 1          , 1           , 4          , 4          , 2          , 4          , 2          , 4          , 4          , 3             , 3             , 4             , 4             , 3
39 , M      , 24  , Azerbaijan     , Y                             , 4             , 3             , 4             , 3             , 4             , 2             , 3             , 4             , 3       , 2       , 2       , 5       , 1       , 4         , 3         , 3         , 5         , 2         , 4         , 3         , 2         , 2         , 3          , 4          , 4          , 3          , 3          , 3          , 3          , 4          , 2          , 3          , 3           , 3          , 3          ,            , 4          , 1          , 5          , 4          , 3             , 2             , 4             , 4             , 3
40 , F      , 26  ,                , Y                             , 0             , 0             , 1             , 3             , 1             , 2             , 2             , 2             , 3       , 4       , 3       , 3       , 2       , 4         , 4         , 3         , 2         , 3         , 3         , 3         , 3         , 2         , 3          , 3          , 3          , 4          , 2          , 4          , 4          , 4          , 2          , 4          , 2           , 4          , 4          , 2          , 3          , 2          , 3          , 4          , 3             , 4             , 4             , 4             , 2
41 , F      , 23  , British        , Y                             , 8             , 2             , 4             , 2             , 4             , 4             , 3             , 5             , 4       , 2       , 1       , 3       , 1       , 4         , 4         , 3         , 2         , 4         , 2         , 2         , 2         , 3         , 4          , 4          , 2          , 3          , 4          , 4          , 4          , 2          , 2          , 2          , 2           , 4          , 4          , 2          , 4          , 4          , 3          , 4          , 2             , 3             , 3             , 2             , 2
43 , F      , 23  , China          , Y                             , 1             , 0             , 2             , 2             , 2             , 2             , 2             , 2             , 3       , 3       , 2       , 2       , 3       , 3         , 3         , 3         , 2         , 2         , 3         , 3         , 3         , 3         , 3          , 3          , 3          , 4          , 4          , 4          , 3          , 4          , 2          , 3          , 2           , 3          , 3          , 2          , 4          , 3          , 3          , 3          , 3             , 3             , 3             , 2             , 3
44 , M      , 23  , kazakh         , Y                             , 4             , 1             , 3             , 3             , 4             , 2             , 3             , 2             , 3       , 4       , 4       , 5       , 3       , 4         , 2         , 2         , 4         , 4         , 2         , 4         , 4         , 2         ,            , 4          , 4          , 2          , 4          , 2          , 3          , 4          , 2          , 3          , 3           , 5          , 5          , 1          , 5          , 1          , 4          , 4          , 4             , 4             , 4             , 4             , 2
46 , M      , 22  , China          , Y                             , 1             , 4             , 4             , 2             , 3             , 2             , 4             , 4             , 4       , 4       , 5       , 4       , 3       , 4         , 3         , 3         , 2         , 2         , 2         , 4         , 3         , 4         , 2          , 4          , 4          , 4          , 4          , 4          , 4          , 4          , 3          , 3          , 2           , 4          , 4          , 2          , 4          , 3          , 5          , 2          , 2             , 2             , 3             , 4             , 2
48 , M      , 30  , Indonesia      , Y                             , 7             , 0             , 2             , 2             , 3             , 2             , 2             , 2             , 4       , 4       , 3       , 4       , 3       , 3         , 4         , 3         , 3         , 3         , 3         , 3         , 3         , 4         , 3          , 4          , 4          , 4          , 2          , 4          , 3          , 4          , 2          , 4          , 2           , 4          , 4          , 3          , 4          , 4          , 4          , 4          , 3             , 3             , 3             , 4             , 3
49 , M      , 25  , British        , Y                             , 2             , 1             , 3             , 4             , 4             , 3             , 3             , 4             , 4       , 3       , 4       , 4       , 2       , 5         , 5         , 1         , 3         , 5         , 3         , 3         , 5         , 3         , 3          , 4          , 4          , 4          , 4          , 4          , 4          , 4          , 3          , 3          , 2           , 3          , 4          , 3          , 3          , 2          , 3          , 4          , 3             , 3             , 3             , 3             , 2
50 , M      , 22  , China          , Y                             , 1             , 1             , 3             , 3             , 3             , 2             , 3             , 3             , 3       , 4       , 5       , 4       , 3       , 3         , 4         , 1         , 2         , 2         , 2         , 3         , 2         , 3         , 2          , 4          , 3          , 3          , 3          , 3          , 3          , 3          , 2          , 4          , 2           , 5          , 4          , 2          , 5          , 3          , 4          , 3          , 3             , 4             , 3             , 3             , 3
51 , M      , 37  , Rench          , Y                             , 3             , 0             , 2             , 4             , 2             , 2             , 4             , 4             , 5       , 3       , 4       , 5       , 2       , 4         , 4         , 4         , 4         , 4         , 4         , 2         , 3         , 4         , 3          , 4          , 4          , 2          , 4          , 5          , 5          , 2          , 2          , 2          , 2           , 4          , 4          , 2          , 4          , 3          , 4          , 4          , 4             , 4             , 4             , 4             , 4
53 , F      , 23  , British        , Y                             , 7             , 1             , 4             , 2             , 4             , 2             , 3             , 4             , 4       , 2       , 2       , 5       , 2       , 4         , 4         , 2         , 4         , 4         , 2         , 1         , 1         , 1         , 4          , 4          , 4          , 4          , 4          , 2          , 4          , 4          , 1          , 2          , 2           , 2          , 2          , 4          , 2          , 4          , 2          , 1          , 1             , 2             , 2             , 1             , 1
54 , F      , 34  , Iranian        , Y                             , 0             , 0             , 2             , 1             , 2             , 2             , 3             , 2             , 2       , 1       , 3       , 4       , 3       , 3         , 3         , 2         , 2         , 1         , 3         , 3         , 2         , 2         , 3          , 4          , 4          , 1          , 3          , 2          , 3          , 3          , 3          , 3          , 1           , 5          , 5          , 5          , 5          , 1          , 4          , 5          , 2             , 5             , 5             , 5             , 4
56 , M      , 24  , British        , Y                             , 8             , 2             , 4             , 3             , 4             , 4             , 3             , 4             , 4       , 2       , 4       , 4       , 2       , 4         , 4         , 1         , 4         , 2         , 2         , 4         , 4         , 2         , 3          , 4          , 3          , 3          , 4          , 4          , 3          , 3          , 3          , 2          , 2           , 3          , 4          , 3          , 3          , 3          , 3          , 3          , 3             , 3             , 3             , 3             , 3
58 , M      , 27  , greek          , Y                             , 4             , 3             , 4             , 3             , 4             , 2             , 2             , 3             , 4       , 3       , 4       , 4       , 2       , 4         , 4         , 2         , 3         , 1         , 3         , 3         , 2         , 3         , 3          , 4          , 4          , 4          , 5          , 2          , 3          , 4          , 2          , 2          , 3           , 5          , 4          , 1          , 4          , 1          , 4          , 4          , 3             , 4             , 5             , 5             , 5
63 , F      , 23  , Chinese        , Y                             , 3             , 1             , 3             , 3             , 3             , 3             , 3             , 3             , 3       , 3       , 3       , 3       , 3       , 3         , 4         , 3         , 4         , 4         , 3         , 4         , 1         , 4         , 3          , 4          , 3          , 3          , 1          , 3          , 3          , 3          , 1          , 3          , 1           , 3          , 4          , 4          , 3          , 3          , 4          , 4          , 3             , 4             , 3             , 3             , 3
65 , M      , 56  , UK             , Y                             , 4             , 1             , 3             , 3             , 2             , 1             , 2             , 4             , 1       , 1       , 1       , 2       , 1       , 3         , 3         , 5         , 3         , 1         , 3         , 3         , 1         , 3         , 3          , 4          , 4          , 4          , 4          , 2          , 2          , 3          , 4          , 3          , 2           , 5          , 5          , 1          , 4          , 1          , 4          , 4          , 4             , 4             , 3             , 4             , 2
66 , M      , 21  , British        , Y                             , 1             , 0             , 1             , 2             , 2             , 3             , 3             , 3             , 4       , 3       , 3       , 5       , 3       , 4         , 4         , 3         , 4         , 2         , 2         , 3         , 3         , 3         , 3          , 3          , 4          , 4          , 4          , 4          , 3          , 4          , 3          , 3          , 3           , 4          , 4          , 2          , 5          , 3          , 3          , 3          , 2             , 3             , 3             , 2             , 2
67 , M      , 22  , English        , Y                             , 6             , 0             , 1             , 3             , 1             , 2             , 2             , 3             , 4       , 2       , 2       , 4       , 2       , 4         , 4         , 2         , 3         , 4         , 3         , 3         , 3         , 2         , 3          , 2          , 2          , 2          , 3          , 2          , 2          , 2          , 2          , 3          , 3           , 4          , 4          , 2          , 4          , 3          , 4          , 4          , 3             , 4             , 4             , 4             , 3
